depth: 1, iteration: 440000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31861114501953, s1: 4.531009674072266, s5: 3.3437204360961914

depth: 1, iteration: 460000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.3193130493164, s1: 4.693269729614258, s5: 3.4635190963745117

depth: 1, iteration: 480000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31907653808594, s1: 4.8523383140563965, s5: 3.580840587615967

depth: 1, iteration: 500000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31874084472656, s1: 5.008285999298096, s5: 3.6959874629974365

depth: 1, iteration: 520000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31974792480469, s1: 5.160953521728516, s5: 3.8085429668426514

depth: 1, iteration: 540000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31945037841797, s1: 5.310939788818359, s5: 3.91933536529541

depth: 1, iteration: 560000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31887817382812, s1: 5.457884311676025, s5: 4.027711868286133

depth: 1, iteration: 580000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31904602050781, s1: 5.601468563079834, s5: 4.1337432861328125

depth: 1, iteration: 600000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.3194808959961, s1: 5.742647171020508, s5: 4.238046646118164

depth: 1, iteration: 620000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.3194808959961, s1: 5.88111686706543, s5: 4.340150833129883

depth: 1, iteration: 640000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31887817382812, s1: 6.016850471496582, s5: 4.440211772918701

depth: 1, iteration: 660000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31887817382812, s1: 6.149341106414795, s5: 4.537981986999512

depth: 1, iteration: 680000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31971740722656, s1: 6.279338836669922, s5: 4.634022235870361

depth: 1, iteration: 700000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31904602050781, s1: 6.407468318939209, s5: 4.7286553382873535

depth: 1, iteration: 720000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31914520263672, s1: 6.53214693069458, s5: 4.821156024932861

depth: 1, iteration: 740000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31954956054688, s1: 6.654265880584717, s5: 4.911398410797119

depth: 1, iteration: 760000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.32051849365234, s1: 6.7744646072387695, s5: 4.999859809875488

depth: 1, iteration: 780000, test_MSE: 1.0109152793884277, test_RMSE: 1.0054428275085698, erank: 70.31985473632812, s1: 6.892764568328857, s5: 5.086822032928467

